"Name","Team","Shirt","Aces","Error","Total"
"Bramwell Terrell","UnityM","11","4","5","18"
"Bramwell","UnityM","11","4","4","21"
"Khalil","Madawaska","8","3","0","11"
"Kovalchuk","UnityM","10","2","2","19"
"Hunt","UnityM","5","2","4","14"
"McGirr","UnityM","6","2","2","18"
"Milanodavic","UnityM","3","2","3","15"
"Kovalchuk Oleg","UnityM","10","2","4","16"
"McLaughlin","InvGrp","2","2","3","14"
"Gatto ","Madawaska","3","1","1","21"
"Kavekics","InvGrp","4","1","1","3"
"Duncan-Thibault Alex","TeamOne","9","1","4","14"
"Reardon Marc","TeamOne","4","1","3","12"
"Ristic","InvGrp","12","1","4","15"
"Reardon","TeamOne","4","1","2","9"
"Hunt Steve","UnityM","5","1","8","18"
"Hunt Taylor","TeamOne","10","1","8","17"
"Mantha Jori","TeamOne","3","1","5","12"
"Collins","TeamOne","5","1","2","6"
"Sim","UnityM","8","1","3","11"
"Zeeman","Madawaska","10","1","1","12"
"Collins Josh","TeamOne","5","1","3","14"
